nombre;referencia;codigo_barras;invima;cum;codigo_producto_dian;existencias;impuesto;precioventa_con_impuesto;precio_venta_base;precio_venta_minimo;descuento_maximo_ps;precio_compra;precio_compraipm;total_impoconsumo;total_estampilla;icui;IBUA;costo;stock_minimo;es_ingrediente;manejo_bascula;vender_solo_existencia;realizar_pedido_solo_existencia;utilidad;mostrar_tienda;categoria;marca;codigo_cuenta;precio1;precio2;precio3;precio4;ubicacion;proveedor;nit_proveedor;url_imagen;nota;tipo_producto
CARGADOR CDR 370 TPC;;;;;;996;0;8984;8984.375;0;0;8333.333333;8333.333333;0;0;0;0;8333.333333;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;17354.16667;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CDR 370 V8;;;;;;970;0;8385;8385.416667;0;0;7777.777778;7777.777778;0;0;0;0;7777.777778;5;FALSE;FALSE;FALSE;1;7.246376811;TRUE;ACCESORIOS;GENERICA;;16763.88889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CDR 372 TPC;;;;;;1143;0;9583;9583.333333;0;0;8800;8800;0;0;0;0;8800;5;FALSE;FALSE;FALSE;1;8.173913044;TRUE;ACCESORIOS;GENERICA;;17944.44444;0;0;0;;HARVIC;3.33E+11;;;Estandar
CARGADOR CDR 372 V8;;;;;;1167;0;8984;8984.375;0;0;8250;8250;0;0;0;0;8250;5;FALSE;FALSE;FALSE;1;8.173913043;TRUE;ACCESORIOS;GENERICA;;17354.16667;0;0;0;;HARVIC;3.33E+11;;;Estandar
CARGADOR DE IP 14 PRO MAX 25W;;;;;;1292;0;14974;14973.95833;0;0;10450;10450;0;0;0;0;10450;5;FALSE;FALSE;FALSE;1;30.21217391;TRUE;ACCESORIOS;GENERICA;;23256.94444;0;0;0;;MARTECH;7942;;;Estandar
CARGADOR DE IP 16 PRO MAX 35W;;;;;;1000;0;15573;15572.91667;0;0;14444.44444;14444.44444;0;0;0;0;14444.44444;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;23847.22222;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR DE RELOJ 119;;;;;;1000;0;5391;5390.625;0;0;5000;5000;0;0;0;0;5000;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;13812.5;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR DE SAMSUNG 25W;;;;;;1733;0;11979;11979.16667;0;;10450;10450;0;0;0;0;10450;5;FALSE;FALSE;FALSE;1;12.76521739;TRUE;ACCESORIOS;GENERICA;;20305.55556;0;0;0;;GOTECH;99011;;;Estandar
CARGADOR GENERICO V3;;;;;;976;0;3115;3114.583333;0;0;2888.888889;2888.888889;0;0;0;0;2888.888889;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;11569.44444;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR GENERICO V8;;;;;;1100;0;3234;3234.375;0;0;3000;3000;0;0;0;0;3000;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;11687.5;0;0;0;;KINOTEC MEDELLIN;;;;Estandar
